run,distance,file,target_freq,detected_freq,error_hz,percent_error
14,36 inch,test_36in_800hz.wav,800,716.4000000000001,-83.59999999999991,-10.449999999999989
14,4 inch,test_4in_100hz.wav,100,89.60000000000001,-10.399999999999991,-10.399999999999991
14,4 inch,test_4in_1600hz.wav,1600,1432.4,-167.5999999999999,-10.474999999999994
14,4 inch,test_4in_200hz.wav,200,179.0,-21.0,-10.5
14,4 inch,test_4in_3200hz.wav,3200,2864.8,-335.1999999999998,-10.474999999999994
14,4 inch,test_4in_4000hz.wav,4000,3580.2000000000003,-419.7999999999997,-10.494999999999994
14,4 inch,test_4in_400hz.wav,400,358.0,-42.0,-10.5
14,4 inch,test_4in_800hz.wav,800,716.2,-83.79999999999995,-10.474999999999994
14,8 inch,test_8in_100hz.wav,100,89.60000000000001,-10.399999999999991,-10.399999999999991
14,8 inch,test_8in_1600hz.wav,1600,1432.2,-167.79999999999995,-10.487499999999997
14,8 inch,test_8in_200hz.wav,200,179.0,-21.0,-10.5
14,8 inch,test_8in_3200hz.wav,3200,2864.8,-335.1999999999998,-10.474999999999994
14,8 inch,test_8in_4000hz.wav,4000,3580.4,-419.5999999999999,-10.489999999999998
14,8 inch,test_8in_400hz.wav,400,358.20000000000005,-41.799999999999955,-10.449999999999989
14,8 inch,test_8in_800hz.wav,800,716.2,-83.79999999999995,-10.474999999999994
15,1 inch,test_1in_100hz.wav,100,89.4,-10.599999999999994,-10.599999999999994
15,1 inch,test_1in_1600hz.wav,1600,1432.2,-167.79999999999995,-10.487499999999997
15,1 inch,test_1in_200hz.wav,200,179.0,-21.0,-10.5
15,1 inch,test_1in_3200hz.wav,3200,2864.4,-335.5999999999999,-10.487499999999997
15,1 inch,test_1in_4000hz.wav,4000,3579.8,-420.1999999999998,-10.504999999999995
15,1 inch,test_1in_400hz.wav,400,358.0,-42.0,-10.5
15,1 inch,test_1in_800hz.wav,800,716.2,-83.79999999999995,-10.474999999999994
15,12 inch,test_12in_100hz.wav,100,89.60000000000001,-10.399999999999991,-10.399999999999991
15,12 inch,test_12in_1600hz.wav,1600,1432.4,-167.5999999999999,-10.474999999999994
15,12 inch,test_12in_200hz.wav,200,179.0,-21.0,-10.5
15,12 inch,test_12in_3200hz.wav,3200,2864.4,-335.5999999999999,-10.487499999999997
15,12 inch,test_12in_4000hz.wav,4000,3579.2000000000003,-420.7999999999997,-10.519999999999992
15,12 inch,test_12in_400hz.wav,400,358.0,-42.0,-10.5
15,12 inch,test_12in_800hz.wav,800,716.2,-83.79999999999995,-10.474999999999994
15,18 inch,test_18in_100hz.wav,100,89.60000000000001,-10.399999999999991,-10.399999999999991
15,18 inch,test_18in_1600hz.wav,1600,1432.4,-167.5999999999999,-10.474999999999994
15,18 inch,test_18in_200hz.wav,200,179.0,-21.0,-10.5
15,18 inch,test_18in_3200hz.wav,3200,2864.4,-335.5999999999999,-10.487499999999997
15,18 inch,test_18in_4000hz.wav,4000,3579.2000000000003,-420.7999999999997,-10.519999999999992
15,18 inch,test_18in_400hz.wav,400,358.0,-42.0,-10.5
15,18 inch,test_18in_800hz.wav,800,716.0,-84.0,-10.5
15,24 inch,test_24in_100hz.wav,100,89.60000000000001,-10.399999999999991,-10.399999999999991
15,24 inch,test_24in_1600hz.wav,1600,1431.8000000000002,-168.19999999999982,-10.512499999999989
15,24 inch,test_24in_200hz.wav,200,179.0,-21.0,-10.5
15,24 inch,test_24in_3200hz.wav,3200,2864.4,-335.5999999999999,-10.487499999999997
15,24 inch,test_24in_4000hz.wav,4000,3579.4,-420.5999999999999,-10.514999999999999
15,24 inch,test_24in_400hz.wav,400,358.0,-42.0,-10.5
15,24 inch,test_24in_800hz.wav,800,716.0,-84.0,-10.5
15,30 inch,test_30in_100hz.wav,100,89.60000000000001,-10.399999999999991,-10.399999999999991
15,30 inch,test_30in_1600hz.wav,1600,1432.2,-167.79999999999995,-10.487499999999997
15,30 inch,test_30in_200hz.wav,200,179.0,-21.0,-10.5
15,30 inch,test_30in_3200hz.wav,3200,2864.0,-336.0,-10.5
15,30 inch,test_30in_4000hz.wav,4000,3579.2000000000003,-420.7999999999997,-10.519999999999992
15,30 inch,test_30in_400hz.wav,400,358.0,-42.0,-10.5
