Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf,branch,experiment,file,expected,species,species_key,expected_key,confidence,start_s,end_s
3.0,6.0,Piranga ludoviciana,Western Tanager,0.001,Filtered_Without_Harmonics\Normalized_Audio\American Robin.wav,-1.0,-1.0,-1,0.01,without_harmonics,E1_no_metadata,American Robin.wav,American Robin,Western Tanager,westerntanager,americanrobin,0.001,3.0,6.0
3.0,6.0,Piranga rubra,Summer Tanager,0.0009,Filtered_Without_Harmonics\Normalized_Audio\American Robin.wav,-1.0,-1.0,-1,0.01,without_harmonics,E1_no_metadata,American Robin.wav,American Robin,Summer Tanager,summertanager,americanrobin,0.0009,3.0,6.0
3.0,6.0,Molothrus ater,Brown-headed Cowbird,0.0008,Filtered_Without_Harmonics\Normalized_Audio\American Robin.wav,-1.0,-1.0,-1,0.01,without_harmonics,E1_no_metadata,American Robin.wav,American Robin,Brown-headed Cowbird,brownheadedcowbird,americanrobin,0.0008,3.0,6.0
3.0,6.0,Icterus galbula,Baltimore Oriole,0.0007,Filtered_Without_Harmonics\Normalized_Audio\American Robin.wav,-1.0,-1.0,-1,0.01,without_harmonics,E1_no_metadata,American Robin.wav,American Robin,Baltimore Oriole,baltimoreoriole,americanrobin,0.0007,3.0,6.0
3.0,6.0,Turdus naumanni,Naumann's Thrush,0.0007,Filtered_Without_Harmonics\Normalized_Audio\American Robin.wav,-1.0,-1.0,-1,0.01,without_harmonics,E1_no_metadata,American Robin.wav,American Robin,Naumann's Thrush,naumannsthrush,americanrobin,0.0007,3.0,6.0
3.0,6.0,Turdus pallidus,Pale Thrush,0.0006,Filtered_Without_Harmonics\Normalized_Audio\American Robin.wav,-1.0,-1.0,-1,0.01,without_harmonics,E1_no_metadata,American Robin.wav,American Robin,Pale Thrush,palethrush,americanrobin,0.0006,3.0,6.0
3.0,6.0,Turdus grayi,Clay-colored Thrush,0.0006,Filtered_Without_Harmonics\Normalized_Audio\American Robin.wav,-1.0,-1.0,-1,0.01,without_harmonics,E1_no_metadata,American Robin.wav,American Robin,Clay-colored Thrush,claycoloredthrush,americanrobin,0.0006,3.0,6.0
3.0,6.0,Pipilo maculatus,Spotted Towhee,0.0006,Filtered_Without_Harmonics\Normalized_Audio\American Robin.wav,-1.0,-1.0,-1,0.01,without_harmonics,E1_no_metadata,American Robin.wav,American Robin,Spotted Towhee,spottedtowhee,americanrobin,0.0006,3.0,6.0
3.0,6.0,Setophaga coronata,Yellow-rumped Warbler,0.0005,Filtered_Without_Harmonics\Normalized_Audio\American Robin.wav,-1.0,-1.0,-1,0.01,without_harmonics,E1_no_metadata,American Robin.wav,American Robin,Yellow-rumped Warbler,yellowrumpedwarbler,americanrobin,0.0005,3.0,6.0
6.0,9.0,Turdus migratorius,American Robin,0.981,Filtered_Without_Harmonics\Normalized_Audio\American Robin.wav,-1.0,-1.0,-1,0.01,without_harmonics,E1_no_metadata,American Robin.wav,American Robin,American Robin,americanrobin,americanrobin,0.981,6.0,9.0
6.0,9.0,Turdus amaurochalinus,Creamy-bellied Thrush,0.1087,Filtered_Without_Harmonics\Normalized_Audio\American Robin.wav,-1.0,-1.0,-1,0.01,without_harmonics,E1_no_metadata,American Robin.wav,American Robin,Creamy-bellied Thrush,creamybelliedthrush,americanrobin,0.1087,6.0,9.0
6.0,9.0,Turdus infuscatus,Black Thrush,0.0236,Filtered_Without_Harmonics\Normalized_Audio\American Robin.wav,-1.0,-1.0,-1,0.01,without_harmonics,E1_no_metadata,American Robin.wav,American Robin,Black Thrush,blackthrush,americanrobin,0.0236,6.0,9.0
6.0,9.0,Turdus unicolor,Tickell's Thrush,0.0215,Filtered_Without_Harmonics\Normalized_Audio\American Robin.wav,-1.0,-1.0,-1,0.01,without_harmonics,E1_no_metadata,American Robin.wav,American Robin,Tickell's Thrush,tickellsthrush,americanrobin,0.0215,6.0,9.0
6.0,9.0,Turdus pelios,African Thrush,0.0195,Filtered_Without_Harmonics\Normalized_Audio\American Robin.wav,-1.0,-1.0,-1,0.01,without_harmonics,E1_no_metadata,American Robin.wav,American Robin,African Thrush,africanthrush,americanrobin,0.0195,6.0,9.0
6.0,9.0,Mimus polyglottos,Northern Mockingbird,0.0053,Filtered_Without_Harmonics\Normalized_Audio\American Robin.wav,-1.0,-1.0,-1,0.01,without_harmonics,E1_no_metadata,American Robin.wav,American Robin,Northern Mockingbird,northernmockingbird,americanrobin,0.0053,6.0,9.0
6.0,9.0,Piranga rubra,Summer Tanager,0.0048,Filtered_Without_Harmonics\Normalized_Audio\American Robin.wav,-1.0,-1.0,-1,0.01,without_harmonics,E1_no_metadata,American Robin.wav,American Robin,Summer Tanager,summertanager,americanrobin,0.0048,6.0,9.0
