experiment,without_file,expected,without_analysis_windows,without_target_detected,without_target_detection_windows,without_target_detection_rate,without_target_max_confidence,without_target_mean_confidence_all_windows,without_target_best_rank,without_top1_window_rate,without_top3_window_rate,without_top5_window_rate,without_target_best_margin,without_target_mean_margin,without_strongest_competitor_max_confidence,with_file,with_analysis_windows,with_target_detected,with_target_detection_windows,with_target_detection_rate,with_target_max_confidence,with_target_mean_confidence_all_windows,with_target_best_rank,with_top1_window_rate,with_top3_window_rate,with_top5_window_rate,with_target_best_margin,with_target_mean_margin,with_strongest_competitor_max_confidence,target_max_confidence_difference,target_mean_confidence_difference,target_detection_rate_difference,top1_window_rate_difference,top3_window_rate_difference,top5_window_rate_difference,target_mean_margin_difference,preferred_branch,decision_reason
E3_location_only,Oak Titmouse.wav,Oak Titmouse,4,True,4,1.0,0.9988,0.893675,1.0,1.0,1.0,1.0,0.9971,0.89185,0.0045,Oak Titmouse.wav,4,True,4,1.0,0.9984,0.8529249999999999,1.0,1.0,1.0,1.0,0.9964999999999999,0.85165,0.0019,-0.00040000000000006697,-0.040750000000000064,0.0,0.0,0.0,0.0,-0.040200000000000014,without_harmonics,meaningfully higher mean target confidence
E3_location_only,Song Sparrow.wav,Song Sparrow,4,True,2,0.5,0.8093,0.20275,1.0,0.25,0.25,0.25,0.7036,0.17372500000000002,0.1057,Song Sparrow.wav,4,True,2,0.5,0.9733,0.24375000000000002,1.0,0.25,0.25,0.25,0.9372,0.23212500000000003,0.0361,0.16400000000000003,0.04100000000000001,0.0,0.0,0.0,0.0,0.05840000000000001,with_harmonics,meaningfully higher maximum target confidence
E3_location_only,Spotted Towhee.wav,Spotted Towhee,4,True,2,0.5,0.97,0.47719999999999996,1.0,0.5,0.5,0.5,0.2005,0.08547500000000001,0.7908,Spotted Towhee.wav,4,True,2,0.5,0.9774,0.4813,1.0,0.5,0.5,0.5,0.38,0.18365,0.6162,0.007400000000000073,0.004100000000000048,0.0,0.0,0.0,0.0,0.098175,with_harmonics,better separation from competing species
E4_week_and_location,American Robin.wav,American Robin,4,True,4,1.0,0.981,0.884225,1.0,1.0,1.0,1.0,0.9757,0.7928999999999999,0.2986,American Robin.wav,4,True,4,1.0,0.9881,0.9319,1.0,1.0,1.0,1.0,0.9871,0.85625,0.2729,0.007099999999999995,0.04767499999999991,0.0,0.0,0.0,0.0,0.06335000000000002,with_harmonics,meaningfully higher mean target confidence
E4_week_and_location,Anna's Hummingbird.wav,Anna's Hummingbird,4,True,4,1.0,0.9963,0.9940249999999999,1.0,1.0,1.0,1.0,0.992,0.976175,0.034,Anna's Hummingbird.wav,4,True,4,1.0,0.9997,0.998475,1.0,1.0,1.0,1.0,0.9993000000000001,0.9952249999999999,0.0067,0.0034000000000000696,0.004450000000000065,0.0,0.0,0.0,0.0,0.0190499999999999,no_meaningful_difference,top-k rates and confidence differences are approximately equivalent
E4_week_and_location,Barn Sparrow.wav,Barn Sparrow,4,False,0,0.0,0.0,0.0,,0.0,0.0,0.0,-0.0019,-0.7478750000000001,0.9997,Barn Sparrow.wav,4,False,0,0.0,0.0,0.0,,0.0,0.0,0.0,-0.0015,-0.74985,0.9999,0.0,0.0,0.0,0.0,0.0,0.0,-0.001974999999999949,no_meaningful_difference,top-k rates and confidence differences are approximately equivalent
E4_week_and_location,Bewick's Wren.wav,Bewick's Wren,4,True,1,0.25,0.9031,0.225775,1.0,0.25,0.25,0.25,0.485,0.11887499999999998,0.4181,Bewick's Wren.wav,4,True,1,0.25,0.892,0.223,1.0,0.25,0.25,0.25,0.6264000000000001,0.15422500000000003,0.2656,-0.011099999999999999,-0.0027749999999999997,0.0,0.0,0.0,0.0,0.03535000000000005,with_harmonics,better separation from competing species
E4_week_and_location,Black Phoebe.wav,Black Phoebe,4,True,4,1.0,0.9968,0.9932,1.0,1.0,1.0,1.0,0.9916,0.9830000000000001,0.0148,Black Phoebe.wav,4,True,4,1.0,0.9995,0.99895,1.0,1.0,1.0,1.0,0.9982,0.9972999999999999,0.004,0.0027000000000000357,0.005750000000000033,0.0,0.0,0.0,0.0,0.014299999999999757,no_meaningful_difference,top-k rates and confidence differences are approximately equivalent
E4_week_and_location,California Towhee.wav,California Towhee,4,True,2,0.5,0.9778,0.486875,1.0,0.5,0.5,0.5,0.9654,0.464675,0.0779,California Towhee.wav,4,True,2,0.5,0.9996,0.4993,1.0,0.5,0.5,0.5,0.997,0.4953,0.0088,0.02180000000000004,0.01242500000000002,0.0,0.0,0.0,0.0,0.030625000000000013,with_harmonics,meaningfully higher maximum target confidence
E4_week_and_location,Hooded Oriole.wav,Hooded Oriole,4,True,4,1.0,0.9995,0.8353999999999999,1.0,0.75,1.0,1.0,0.9977,0.68265,0.5979,Hooded Oriole.wav,4,True,4,1.0,0.9999,0.964,1.0,1.0,1.0,1.0,0.9938,0.85795,0.4061,0.00039999999999995595,0.12860000000000005,0.0,0.25,0.0,0.0,0.1753,with_harmonics,higher target top-1 window rate
E4_week_and_location,House Finch.wav,House Finch,4,True,4,1.0,0.1601,0.059225,1.0,0.75,0.75,0.75,0.1567,0.050325,0.0269,House Finch.wav,4,True,4,1.0,0.8753,0.43270000000000003,1.0,0.75,0.75,0.75,0.8676999999999999,0.42472499999999996,0.0186,0.7152,0.373475,0.0,0.0,0.0,0.0,0.37439999999999996,with_harmonics,meaningfully higher maximum target confidence
E4_week_and_location,House Sparrow.wav,House Sparrow,4,True,4,1.0,0.6594,0.44735,1.0,1.0,1.0,1.0,0.6533,0.44162500000000005,0.0088,House Sparrow.wav,4,True,4,1.0,0.7496,0.5643250000000001,1.0,1.0,1.0,1.0,0.7482000000000001,0.5526,0.0258,0.09020000000000006,0.11697500000000005,0.0,0.0,0.0,0.0,0.11097499999999993,with_harmonics,meaningfully higher maximum target confidence
E4_week_and_location,Lesser Goldfinch.wav,Lesser Goldfinch,4,True,4,1.0,0.5148,0.200175,1.0,0.5,1.0,1.0,0.46880000000000005,-0.07035,0.7082,Lesser Goldfinch.wav,4,True,4,1.0,0.5837,0.28625,1.0,0.75,1.0,1.0,0.4464,0.031200000000000006,0.7464,0.06889999999999996,0.08607500000000001,0.0,0.25,0.0,0.0,0.10155,with_harmonics,higher target top-1 window rate
E4_week_and_location,Northern House Wren.wav,Northern House Wren,4,False,0,0.0,0.0,0.0,,0.0,0.0,0.0,-0.0033,-0.5720999999999999,0.9908,Northern House Wren.wav,4,False,0,0.0,0.0,0.0,,0.0,0.0,0.0,-0.0033,-0.5658249999999999,0.9965,0.0,0.0,0.0,0.0,0.0,0.0,0.0062750000000000306,no_meaningful_difference,top-k rates and confidence differences are approximately equivalent
