experiment,bird,distance,file,mean_correct_top1,mean_correct_top3,mean_correct_top5,mean_expected_rank,max_correct_top1,max_correct_top3,max_correct_top5,max_expected_rank,expected_detected,expected_max_active_window_confidence,expected_mean_active_window_confidence,active_window_detection_rate,reference_1ft_confidence,confidence_change_from_1ft,confidence_retention_from_1ft
E1_no_metadata,Barn Swallow,12ft,Barn_Swallow_12ft.wav,True,True,True,1,True,True,True,1,True,0.9988,0.9975333333333335,1.0,0.9812333333333334,0.016300000000000092,1.0166117471209704
E1_no_metadata,Bewick's Wren,12ft,Bewicks_Wren_12ft.wav,True,True,True,1,True,True,True,1,True,0.8706,0.8706,1.0,0.8609,0.009700000000000042,1.0112672784295504
E1_no_metadata,Black Phoebe,12ft,Black_Phoebe_12ft.wav,True,True,True,1,True,True,True,1,True,0.9997,0.994775,1.0,0.9997250000000001,-0.004950000000000121,0.9950486383755531
E1_no_metadata,California Towhee,12ft,California_Towhee_12ft.wav,True,True,True,1,True,True,True,1,True,0.999,0.99515,1.0,0.9981,-0.002950000000000008,0.9970443843302275
E1_no_metadata,Dark-eyed Junco,12ft,Dark_eyed_Junco_12ft.wav,True,True,True,1,True,True,True,1,True,0.9696,0.9493,1.0,0.9764999999999999,-0.02719999999999989,0.9721454173067078
E1_no_metadata,European Starling,12ft,European_Starling_12ft.wav,True,True,True,1,True,True,True,1,True,0.562,0.192225,0.75,0.344325,-0.15209999999999999,0.5582661729470704
E1_no_metadata,Hooded Oriole,12ft,Hooded_Oriole_12ft.wav,True,True,True,1,True,True,True,1,True,0.9354,0.6271499999999999,1.0,0.755325,-0.12817500000000015,0.8303048356667657
E1_no_metadata,House Finch,12ft,House_Finch_12ft.wav,True,True,True,1,True,True,True,1,True,0.9257,0.6542,1.0,0.6496333333333334,0.004566666666666608,1.007029606444661
E1_no_metadata,House Sparrow,12ft,House_Sparrow_12ft.wav,True,True,True,1,True,True,True,1,True,0.7826,0.463075,1.0,0.5964,-0.13332500000000003,0.7764503688799463
E1_no_metadata,Lesser Goldfinch,12ft,Lesser_Goldfinch_12ft.wav,True,True,True,1,False,True,True,2,True,0.443,0.20382499999999998,0.75,0.06257499999999999,0.14125,3.2572912504994007
E1_no_metadata,Mourning Dove,12ft,Mourning_Dove_12ft.wav,True,True,True,1,True,True,True,1,True,0.9556,0.5309,1.0,0.7801,-0.24919999999999998,0.6805537751570312
E1_no_metadata,Northern House Wren,12ft,Northern_House_Wren_12ft.wav,True,True,True,1,True,True,True,1,True,0.9941,0.7785666666666667,1.0,0.7593666666666667,0.019199999999999995,1.0252842280848076
E1_no_metadata,Northern Mockingbird,12ft,Northern_Mockingbird_12ft.wav,True,True,True,1,True,True,True,1,True,0.7178,0.3063,0.75,0.31210000000000004,-0.005800000000000027,0.9814162127523229
E1_no_metadata,Northern Yellow Warbler,12ft,Northern_Yellow_Warbler_12ft.wav,True,True,True,1,True,True,True,1,True,0.8782,0.8782,1.0,0.9617,-0.08350000000000002,0.9131745866694395
E1_no_metadata,Oak Titmouse,12ft,Oak_Titmouse_12ft.wav,True,True,True,1,True,True,True,1,True,0.9991,0.76805,1.0,0.910375,-0.14232500000000003,0.8436633255526569
E1_no_metadata,Rock Pigeon,12ft,Rock_Pigeon_12ft.wav,True,True,True,1,True,True,True,1,True,0.9948,0.9921666666666668,1.0,0.8856333333333333,0.10653333333333348,1.120290564191351
E1_no_metadata,Song Sparrow,12ft,Song_Sparrow_12ft.wav,True,True,True,1,True,True,True,1,True,0.9502,0.9502,1.0,0.9159,0.0343,1.0374495032208757
E1_no_metadata,Spotted Towhee,12ft,Spotted_Towhee_12ft.wav,True,True,True,1,True,True,True,1,True,0.9848,0.97085,1.0,0.9761,-0.005249999999999977,0.9946214527200082
E1_no_metadata,American Robin,24ft,American_Robin_24ft.wav,True,True,True,1,True,True,True,1,True,0.6834,0.620475,1.0,0.9196,-0.299125,0.6747227055241409
E1_no_metadata,Anna's Hummingbird,24ft,Annas_Hummingbird_24ft.wav,True,True,True,1,True,True,True,1,True,0.9968,0.915325,1.0,0.94445,-0.029124999999999956,0.9691619461061994
E1_no_metadata,Barn Swallow,24ft,Barn_Swallow_24ft.wav,True,True,True,1,True,True,True,1,True,0.9924,0.7226333333333333,1.0,0.9812333333333334,-0.25860000000000005,0.7364541223630126
E1_no_metadata,Bewick's Wren,24ft,Bewicks_Wren_24ft.wav,True,True,True,1,True,True,True,1,True,0.1983,0.1983,1.0,0.8609,-0.6626,0.23034034150307817
E1_no_metadata,Black Phoebe,24ft,Black_Phoebe_24ft.wav,True,True,True,1,True,True,True,1,True,0.9995,0.9955750000000001,1.0,0.9997250000000001,-0.004149999999999987,0.99584885843607
E1_no_metadata,California Towhee,24ft,California_Towhee_24ft.wav,True,True,True,1,True,True,True,1,True,0.9971,0.9838,1.0,0.9981,-0.01429999999999998,0.9856727782787296
E1_no_metadata,Dark-eyed Junco,24ft,Dark_eyed_Junco_24ft.wav,True,True,True,1,True,True,True,1,True,0.9113,0.7918000000000001,1.0,0.9764999999999999,-0.18469999999999986,0.8108550947260625
E1_no_metadata,European Starling,24ft,European_Starling_24ft.wav,True,True,True,1,True,True,True,1,True,0.2317,0.076375,0.75,0.344325,-0.26795,0.22181078922529587
E1_no_metadata,Hooded Oriole,24ft,Hooded_Oriole_24ft.wav,True,True,True,1,True,True,True,1,True,0.9843,0.639725,1.0,0.755325,-0.11560000000000004,0.846953298249098
E1_no_metadata,House Finch,24ft,House_Finch_24ft.wav,True,True,True,1,True,True,True,1,True,0.4622,0.19163333333333332,1.0,0.6496333333333334,-0.4580000000000001,0.29498691569603364
E1_no_metadata,House Sparrow,24ft,House_Sparrow_24ft.wav,True,True,True,1,True,True,True,1,True,0.8031,0.5458999999999999,1.0,0.5964,-0.0505000000000001,0.9153252850435948
E1_no_metadata,Lesser Goldfinch,24ft,Lesser_Goldfinch_24ft.wav,False,True,True,3,False,False,True,4,True,0.1727,0.08072499999999999,0.5,0.06257499999999999,0.01815,1.2900519376747903
E1_no_metadata,Mourning Dove,24ft,Mourning_Dove_24ft.wav,True,True,True,1,True,True,True,1,True,0.9472,0.8266333333333334,1.0,0.7801,0.046533333333333426,1.0596504721616888
E1_no_metadata,Northern House Wren,24ft,Northern_House_Wren_24ft.wav,True,True,True,1,True,True,True,1,True,0.9771,0.7959333333333333,1.0,0.7593666666666667,0.036566666666666525,1.0481541635573501
