name,branch,status,error,selected_channel,active_rms_trimmed_selected_dbfs,active_rms_filtered_selected_dbfs,active_rms_mono_dbfs,active_rms_silenced_dbfs,active_rms_normalized_dbfs,rms_filter_change_db,rms_mono_resampling_change_db,rms_silencing_change_db,rms_normalization_change_db,rms_overall_change_db,peak_trimmed_selected_dbfs,peak_filtered_selected_dbfs,peak_mono_dbfs,peak_silenced_dbfs,peak_normalized_dbfs,peak_filter_change_db,peak_mono_resampling_change_db,peak_silencing_change_db,peak_normalization_change_db,peak_overall_change_db,crest_factor_trimmed_selected_db,crest_factor_filtered_selected_db,crest_factor_mono_db,crest_factor_silenced_db,crest_factor_normalized_db,trimmed_original_channels,filtered_original_channels,mono_channels,silenced_channels,normalized_channels,trimmed_sample_rate_hz,filtered_sample_rate_hz,mono_sample_rate_hz,silenced_sample_rate_hz,normalized_sample_rate_hz,trimmed_subtype,filtered_subtype,mono_subtype,silenced_subtype,normalized_subtype,duration_trimmed_seconds,duration_filtered_seconds,duration_mono_seconds,duration_silenced_seconds,duration_normalized_seconds,active_duration_seconds,active_fraction_percent,inactive_max_abs_silenced,inactive_max_abs_normalized
Lesser Goldfinch,without_harmonics,OK,,already_mono,-19.692145424706364,-19.739575232266276,-19.733970019539047,-19.733990285490318,-24.99999965598334,-0.04742980755991155,0.005605212727228803,-2.0265951270914684e-05,-5.266009370493023,-5.307854231276977,-3.0116115131664314,-3.016102992596115,-3.0375111589854384,-3.0375111589854384,-8.302966618917281,-0.0044914794296837535,-0.021408166389323302,0.0,-5.265455459931843,-5.29135510575085,16.680533911539932,16.723472239670162,16.69645886055361,16.69647912650488,16.69703303706606,1,1,1,1,1,48000,48000,44100,44100,44100,PCM_24,PCM_16,PCM_16,PCM_16,PCM_16,10.0,10.0,10.0,10.0,10.0,9.391995464852608,93.91995464852607,0.0,0.0
Lesser Goldfinch,with_harmonics,OK,,already_mono,-19.692145424706364,-19.695806460787665,-19.690193979292992,-19.690213336981955,-24.999998873705888,-0.0036610360813007503,0.00561248149467275,-1.9357688962884367e-05,-5.309785536723933,-5.3078534489995235,-3.0116115131664314,-2.993624939150501,-2.9835287621854576,-2.9835287621854576,-8.29263078456363,0.0179865740159304,0.01009617696504339,0.0,-5.3091020223781715,-5.281019271397198,16.680533911539932,16.702181521637165,16.706665217107535,16.706684574796498,16.707368089142257,1,1,1,1,1,48000,48000,44100,44100,44100,PCM_24,PCM_16,PCM_16,PCM_16,PCM_16,10.0,10.0,10.0,10.0,10.0,9.391995464852608,93.91995464852607,0.0,0.0
Mourning Dove,without_harmonics,OK,,already_mono,-23.52251424204463,-23.580981595674725,-23.579615279839928,-23.58045181726776,-24.99999587917499,-0.05846735363009614,0.0013663158347974047,-0.0008365374278334059,-1.419544061907228,-1.47748163713036,-13.06458162222137,-13.489321952786801,-13.488069391008287,-13.488069391008287,-14.908167612800987,-0.4247403305654309,0.001252561778514405,0.0,-1.420098221792701,-1.8435859905796175,10.457932619823259,10.091659642887924,10.091545888831641,10.092382426259475,10.091828266374002,1,1,1,1,1,96000,96000,44100,44100,44100,PCM_24,PCM_16,PCM_16,PCM_16,PCM_16,10.0,10.0,10.0,10.0,10.0,4.6,46.0,0.0,0.0
Northern House Wren,without_harmonics,OK,,already_mono,-22.225971476616415,-22.260975712468856,-22.257980255890786,-22.258367811685563,-24.999998236550333,-0.0350042358524405,0.002995456578069877,-0.0003875557947772279,-2.74163042486477,-2.7740267599339177,-4.209077524567734,-4.233417767283724,-4.279717236328362,-4.279717236328362,-7.021941583505616,-0.02434024271599,-0.04629946904463811,0.0,-2.7422243471772543,-2.8128640589378824,18.016893952048683,18.02755794518513,17.978263019562423,17.9786505753572,17.978056653044717,1,1,1,1,1,48000,48000,44100,44100,44100,PCM_24,PCM_16,PCM_16,PCM_16,PCM_16,10.0,10.0,10.0,10.0,10.0,6.3,63.0,0.0,0.0
Northern House Wren,with_harmonics,OK,,already_mono,-22.225971476616415,-22.240138462070757,-22.2371456025341,-22.237526047865302,-24.999998536894424,-0.014166985454341585,0.0029928595366577326,-0.00038044533120284996,-2.762472489029122,-2.7740270602780086,-4.209077524567734,-4.229534648388232,-4.25891685208008,-4.25891685208008,-7.021941583505616,-0.020457123820498246,-0.029382203691848297,0.0,-2.763024731425536,-2.8128640589378824,18.016893952048683,18.010603813682525,17.97822875045402,17.97860919578522,17.97805695338881,1,1,1,1,1,48000,48000,44100,44100,44100,PCM_24,PCM_16,PCM_16,PCM_16,PCM_16,10.0,10.0,10.0,10.0,10.0,6.3,63.0,0.0,0.0
Northern Mockingbird,without_harmonics,OK,,already_mono,-17.603340976792257,-17.635898418121066,-17.635898418121066,-17.63657020246506,-24.999992848576852,-0.03255744132880878,0.0,-0.0006717843439929538,-7.363422646111793,-7.396651871784595,-3.204950606033301,-3.4431906521256956,-3.4431906521256956,-3.4431906521256956,-10.805879131060571,-0.23824004609239458,0.0,0.0,-7.362688478934876,-7.60092852502727,14.398390370758957,14.19270776599537,14.19270776599537,14.193379550339364,14.19411371751628,1,1,1,1,1,44100,44100,44100,44100,44100,PCM_16,PCM_16,PCM_16,PCM_16,PCM_16,10.0,10.0,10.0,10.0,10.0,5.21,52.1,0.0,0.0
Northern Mockingbird,with_harmonics,OK,,already_mono,-17.603340976792257,-17.640955418477443,-17.640955418477443,-17.641617293750823,-25.000001866093527,-0.037614441685185795,0.0,-0.0006618752733800193,-7.358384572342704,-7.39666088930127,-3.204950606033301,-3.1537310767154114,-3.1537310767154114,-3.1537310767154114,-10.512885680457838,0.051219529317889645,0.0,0.0,-7.359154603742427,-7.307935074424537,14.398390370758957,14.487224341762031,14.487224341762031,14.487886217035411,14.487116185635688,1,1,1,1,1,44100,44100,44100,44100,44100,PCM_16,PCM_16,PCM_16,PCM_16,PCM_16,10.0,10.0,10.0,10.0,10.0,5.21,52.1,0.0,0.0
Northern Yellow Warbler,without_harmonics,OK,,right,-15.140279129398744,-15.192508188148635,-15.183943409387766,-15.18394356762249,-25.00000243780245,-0.05222905874989081,0.008564778760868919,-1.582347248785254e-07,-9.81605887017996,-9.859723308403707,-3.1504222981694046,-3.1544933311817247,-3.2061007757030175,-3.2061007757030175,-13.022337598526496,-0.004071033012320147,-0.051607444521292845,0.0,-9.816236822823479,-9.871915300357092,11.98985683122934,12.03801485696691,11.977842633684748,11.977842791919473,11.977664839275954,2,2,1,1,1,96000,96000,44100,44100,44100,PCM_24,PCM_16,PCM_16,PCM_16,PCM_16,10.0,10.0,10.0,10.0,10.0,1.45,14.5,0.0,0.0
Northern Yellow Warbler,with_harmonics,OK,,right,-15.140279129398744,-15.160292829308768,-15.151768395960893,-15.151768557135156,-24.99999684100625,-0.020013699910023774,0.00852443334787445,-1.6117426326900386e-07,-9.848228283871094,-9.859717711607507,-3.1504222981694046,-3.1590682632831353,-3.2018842313002267,-3.2018842313002267,-13.050874427934396,-0.008645965113730725,-0.04281596801709142,0.0,-9.848990196634169,-9.900452129764991,11.98985683122934,12.001224566025632,11.949884164660666,11.94988432583493,11.949122413071855,2,2,1,1,1,96000,96000,44100,44100,44100,PCM_24,PCM_16,PCM_16,PCM_16,PCM_16,10.0,10.0,10.0,10.0,10.0,1.45,14.5,0.0,0.0
Oak Titmouse,without_harmonics,OK,,already_mono,-26.931631482057394,-26.992485570323627,-26.992485570323627,-26.99248929525547,-24.999999576720096,-0.06085408826623251,0.0,-3.724931843862578e-06,1.9924897185353743,1.931631905337298,-7.310459516922551,-7.303082442683591,-7.303082442683591,-7.303082442683591,-5.3103635665104605,0.007377074238959835,0.0,0.0,1.9927188761731305,2.0000959504120903,19.62117196513484,19.689403127640034,19.689403127640034,19.689406852571878,19.689636010209636,1,1,1,1,1,44100,44100,44100,44100,44100,PCM_16,PCM_16,PCM_16,PCM_16,PCM_16,10.0,10.0,10.0,10.0,10.0,4.65,46.5,0.0,0.0
Oak Titmouse,with_harmonics,OK,,already_mono,-26.931631482057394,-26.945723873415133,-26.945723873415133,-26.94572928836891,-24.999999175771244,-0.014092391357738876,0.0,-5.4149537760395106e-06,1.9457301125976656,1.9316323062861507,-7.310459516922551,-7.301853539223977,-7.301853539223977,-7.301853539223977,-5.355915182813881,0.008605977698573852,0.0,0.0,1.945938356410096,1.95454433410867,19.62117196513484,19.643870334191156,19.643870334191156,19.643875749144932,19.644083992957363,1,1,1,1,1,44100,44100,44100,44100,44100,PCM_16,PCM_16,PCM_16,PCM_16,PCM_16,10.0,10.0,10.0,10.0,10.0,4.65,46.5,0.0,0.0
Rock Pigeon,without_harmonics,OK,,already_mono,-19.320365557397157,-19.35570328919591,-19.354801677675624,-19.35663707018248,-24.999998610083484,-0.0353377317987551,0.0009016115202875596,-0.0018353925068552712,-5.643361539901004,-5.679633052686327,-3.5480997922871165,-3.653364301936061,-3.6549791547667527,-3.6549791547667527,-9.299083521517256,-0.1052645096489444,-0.0016148528306918486,0.0,-5.644104366750502,-5.750983729230139,15.77226576511004,15.70233898725985,15.699822522908871,15.701657915415726,15.700915088566228,1,1,1,1,1,48000,48000,44100,44100,44100,PCM_24,PCM_16,PCM_16,PCM_16,PCM_16,10.0,10.0,10.0,10.0,10.0,3.7,37.0,0.0,0.0
Song Sparrow,without_harmonics,OK,,left,-19.063771336288934,-19.300034024010312,-19.293808287871137,-19.29380915935871,-25.000000202471703,-0.23626268772137848,0.006225736139175098,-8.714875718851545e-07,-5.7061910431129945,-5.93622886618277,-5.538887259242918,-5.645013867498889,-5.398251840474478,-5.398251840474478,-11.104341236624112,-0.10612660825597153,0.24676202702441152,0.0,-5.706089396149634,-5.565453977381194,13.524884077046016,13.655020156511423,13.89555644739666,13.895557318884231,13.895658965847591,2,2,1,1,1,48000,48000,44100,44100,44100,PCM_24,PCM_16,PCM_16,PCM_16,PCM_16,10.0,10.0,10.0,10.0,10.0,2.65,26.5,0.0,0.0
Song Sparrow,with_harmonics,OK,,left,-19.063771336288934,-19.065623587127543,-19.059255761897603,-19.059256586159137,-25.000001883880387,-0.001852250838609848,0.006367825229940394,-8.242615336939707e-07,-5.94074529772125,-5.936230547591453,-5.538887259242918,-5.620677947853647,-5.359844782898126,-5.359844782898126,-11.299754321082403,-0.08179068861072913,0.2608331649555211,0.0,-5.939909538184278,-5.760867061839486,13.524884077046016,13.444945639273897,13.699410978999477,13.699411803261011,13.700247562797983,2,2,1,1,1,48000,48000,44100,44100,44100,PCM_24,PCM_16,PCM_16,PCM_16,PCM_16,10.0,10.0,10.0,10.0,10.0,2.65,26.5,0.0,0.0
Spotted Towhee,without_harmonics,OK,,already_mono,-20.833760516538064,-20.84115587631322,-20.84115587631322,-20.841156201136197,-25.000003608017487,-0.007395359775156152,0.0,-3.2482297740443755e-07,-4.158847406881289,-4.166243091479423,-3.523946018540366,-3.487830001275119,-3.487830001275119,-3.487830001275119,-7.647166494100195,0.03611601726524727,0.0,0.0,-4.1593364928250764,-4.123220475559829,17.3098144979977,17.353325875038102,17.353325875038102,17.35332619986108,17.352837113917293,1,1,1,1,1,44100,44100,44100,44100,44100,PCM_16,PCM_16,PCM_16,PCM_16,PCM_16,10.0,10.0,10.0,10.0,10.0,2.65,26.5,0.0,0.0
