experiment,file,source_path,bird,expected_birdnet_species,distance,start_s,end_s,window_duration_s,active_overlap_seconds,active_overlap_fraction,is_active_window,top1_prediction,top1_confidence,top2_prediction,top2_confidence,top3_prediction,top3_confidence,expected_detected,expected_rank,expected_confidence,correct_top1,correct_top3,correct_top5
E1_no_metadata,Barn_Swallow_1ft.wav,Birdsongs Recordings\1ft\Barn_Swallow_1ft.wav,Barn Swallow,Barn Swallow,1ft,6.0,9.0,3.0,3.0,1.0,True,Barn Swallow,0.9786,Eastern Olivaceous Warbler,0.0256,Fireworks,0.0214,True,1.0,0.9786,True,True,True
E1_no_metadata,Barn_Swallow_1ft.wav,Birdsongs Recordings\1ft\Barn_Swallow_1ft.wav,Barn Swallow,Barn Swallow,1ft,9.0,10.0,1.0,0.1999999999999993,0.1999999999999993,False,Mouse-colored Tyrannulet,0.3343,Rufous-crowned Pygmy-Tyrant,0.1462,Rusty-headed Spinetail,0.0582,False,,0.0,False,False,False
E1_no_metadata,Bewicks_Wren_1ft.wav,Birdsongs Recordings\1ft\Bewicks_Wren_1ft.wav,Bewick's Wren,Bewick's Wren,1ft,0.0,3.0,3.0,2.4,0.7999999999999999,True,Bewick's Wren,0.8609,Black-throated Sparrow,0.1658,Song Sparrow,0.0579,True,1.0,0.8609,True,True,True
E1_no_metadata,Bewicks_Wren_1ft.wav,Birdsongs Recordings\1ft\Bewicks_Wren_1ft.wav,Bewick's Wren,Bewick's Wren,1ft,3.0,6.0,3.0,0.0,0.0,False,Merlin,0.0604,Bicknell's Thrush,0.0295,Louisiana Waterthrush,0.0268,False,,0.0,False,False,False
E1_no_metadata,Bewicks_Wren_1ft.wav,Birdsongs Recordings\1ft\Bewicks_Wren_1ft.wav,Bewick's Wren,Bewick's Wren,1ft,6.0,9.0,3.0,0.0,0.0,False,Common Virtuoso Katydid,0.8305,Engine,0.0533,Fork-tailed Bush Katydid,0.0355,False,,0.0,False,False,False
E1_no_metadata,Bewicks_Wren_1ft.wav,Birdsongs Recordings\1ft\Bewicks_Wren_1ft.wav,Bewick's Wren,Bewick's Wren,1ft,9.0,10.0,1.0,0.0,0.0,False,Common Virtuoso Katydid,0.0274,Engine,0.0194,Northern Saw-whet Owl,0.008,False,,0.0,False,False,False
E1_no_metadata,Black_Phoebe_1ft.wav,Birdsongs Recordings\1ft\Black_Phoebe_1ft.wav,Black Phoebe,Black Phoebe,1ft,0.0,3.0,3.0,0.7500000000000002,0.25000000000000006,True,Black Phoebe,0.9998,Wrentit,0.0003,Song Sparrow,0.0002,True,1.0,0.9998,True,True,True
E1_no_metadata,Black_Phoebe_1ft.wav,Birdsongs Recordings\1ft\Black_Phoebe_1ft.wav,Black Phoebe,Black Phoebe,1ft,3.0,6.0,3.0,0.8999999999999999,0.3,True,Black Phoebe,0.9995,Eastern Phoebe,0.0004,Wrentit,0.0002,True,1.0,0.9995,True,True,True
E1_no_metadata,Black_Phoebe_1ft.wav,Birdsongs Recordings\1ft\Black_Phoebe_1ft.wav,Black Phoebe,Black Phoebe,1ft,6.0,9.0,3.0,0.7999999999999989,0.26666666666666633,True,Black Phoebe,0.9998,Eastern Phoebe,0.0016,Verdin,0.0001,True,1.0,0.9998,True,True,True
E1_no_metadata,Black_Phoebe_1ft.wav,Birdsongs Recordings\1ft\Black_Phoebe_1ft.wav,Black Phoebe,Black Phoebe,1ft,9.0,10.0,1.0,0.40000000000000036,0.40000000000000036,True,Black Phoebe,0.9998,Eastern Phoebe,0.001,Bushtit,0.0005,True,1.0,0.9998,True,True,True
E1_no_metadata,California_Towhee_1ft.wav,Birdsongs Recordings\1ft\California_Towhee_1ft.wav,California Towhee,California Towhee,1ft,0.0,3.0,3.0,1.35,0.45,True,California Towhee,0.9986,White-throated Towhee,0.0016,Spotted Towhee,0.0014,True,1.0,0.9986,True,True,True
E1_no_metadata,California_Towhee_1ft.wav,Birdsongs Recordings\1ft\California_Towhee_1ft.wav,California Towhee,California Towhee,1ft,3.0,6.0,3.0,0.0,0.0,False,Black Phoebe,0.2448,House Sparrow,0.1063,Ortolan Bunting,0.06,False,,0.0,False,False,False
E1_no_metadata,California_Towhee_1ft.wav,Birdsongs Recordings\1ft\California_Towhee_1ft.wav,California Towhee,California Towhee,1ft,6.0,9.0,3.0,1.4499999999999993,0.4833333333333331,True,California Towhee,0.9976,Abert's Towhee,0.0066,Spotted Towhee,0.0019,True,1.0,0.9976,True,True,True
E1_no_metadata,California_Towhee_1ft.wav,Birdsongs Recordings\1ft\California_Towhee_1ft.wav,California Towhee,California Towhee,1ft,9.0,10.0,1.0,0.0,0.0,False,Allen's Hummingbird,0.0368,Rufous Hummingbird,0.0226,Chestnut-capped Brushfinch,0.0207,False,,0.0,False,False,False
E1_no_metadata,Dark_eyed_Junco_1ft.wav,Birdsongs Recordings\1ft\Dark_eyed_Junco_1ft.wav,Dark-eyed Junco,Dark-eyed Junco,1ft,0.0,3.0,3.0,1.7500000000000002,0.5833333333333334,True,Dark-eyed Junco,0.9843,Swamp Sparrow,0.2367,Chipping Sparrow,0.0215,True,1.0,0.9843,True,True,True
E1_no_metadata,Dark_eyed_Junco_1ft.wav,Birdsongs Recordings\1ft\Dark_eyed_Junco_1ft.wav,Dark-eyed Junco,Dark-eyed Junco,1ft,3.0,6.0,3.0,0.0,0.0,False,Common Virtuoso Katydid,0.2424,Black Phoebe,0.154,American Goldfinch,0.0466,False,,0.0,False,False,False
E1_no_metadata,Dark_eyed_Junco_1ft.wav,Birdsongs Recordings\1ft\Dark_eyed_Junco_1ft.wav,Dark-eyed Junco,Dark-eyed Junco,1ft,6.0,9.0,3.0,1.8500000000000005,0.6166666666666668,True,Dark-eyed Junco,0.9687,Chipping Sparrow,0.104,Cirl Bunting,0.0624,True,1.0,0.9687,True,True,True
E1_no_metadata,Dark_eyed_Junco_1ft.wav,Birdsongs Recordings\1ft\Dark_eyed_Junco_1ft.wav,Dark-eyed Junco,Dark-eyed Junco,1ft,9.0,10.0,1.0,0.0,0.0,False,Allen's Hummingbird,0.1443,Rufous Hummingbird,0.1402,Tanager Finch,0.029,False,,0.0,False,False,False
E1_no_metadata,European_Starling_1ft.wav,Birdsongs Recordings\1ft\European_Starling_1ft.wav,European Starling,European Starling,1ft,0.0,3.0,3.0,2.6,0.8666666666666667,True,Freckle-breasted Thornbird,0.0428,Boat-tailed Grackle,0.0285,Chipping Sparrow,0.0241,True,6.0,0.0103,False,False,False
E1_no_metadata,European_Starling_1ft.wav,Birdsongs Recordings\1ft\European_Starling_1ft.wav,European Starling,European Starling,1ft,3.0,6.0,3.0,3.0,1.0,True,European Starling,0.2909,Black-capped Chickadee,0.0665,Marsh Tit,0.0425,True,1.0,0.2909,True,True,True
E1_no_metadata,European_Starling_1ft.wav,Birdsongs Recordings\1ft\European_Starling_1ft.wav,European Starling,European Starling,1ft,6.0,9.0,3.0,3.0,1.0,True,European Starling,0.7345,Golden-crowned Sparrow,0.2468,Red-rumped Cacique,0.0683,True,1.0,0.7345,True,True,True
E1_no_metadata,European_Starling_1ft.wav,Birdsongs Recordings\1ft\European_Starling_1ft.wav,European Starling,European Starling,1ft,9.0,10.0,1.0,1.0,1.0,True,European Starling,0.3416,Rosy Starling,0.3241,Spotless Starling,0.1693,True,1.0,0.3416,True,True,True
E1_no_metadata,Hooded_Oriole_1ft.wav,Birdsongs Recordings\1ft\Hooded_Oriole_1ft.wav,Hooded Oriole,Hooded Oriole,1ft,0.0,3.0,3.0,1.35,0.45,True,Hooded Oriole,0.8867,Western Capercaillie,0.2269,White-eyed Vireo,0.1682,True,1.0,0.8867,True,True,True
E1_no_metadata,Hooded_Oriole_1ft.wav,Birdsongs Recordings\1ft\Hooded_Oriole_1ft.wav,Hooded Oriole,Hooded Oriole,1ft,3.0,6.0,3.0,1.6500000000000008,0.5500000000000003,True,Hooded Oriole,0.6742,Curve-billed Thrasher,0.1747,Gray Catbird,0.0644,True,1.0,0.6742,True,True,True
E1_no_metadata,Hooded_Oriole_1ft.wav,Birdsongs Recordings\1ft\Hooded_Oriole_1ft.wav,Hooded Oriole,Hooded Oriole,1ft,6.0,9.0,3.0,2.4000000000000004,0.8000000000000002,True,Curve-billed Thrasher,0.7731,Hooded Oriole,0.7003,Long-billed Thrasher,0.0419,True,2.0,0.7003,False,True,True
E1_no_metadata,Hooded_Oriole_1ft.wav,Birdsongs Recordings\1ft\Hooded_Oriole_1ft.wav,Hooded Oriole,Hooded Oriole,1ft,9.0,10.0,1.0,0.8499999999999996,0.8499999999999996,True,Hooded Oriole,0.7601,Western Tanager,0.3424,Orchard Oriole,0.2212,True,1.0,0.7601,True,True,True
E1_no_metadata,House_Finch_1ft.wav,Birdsongs Recordings\1ft\House_Finch_1ft.wav,House Finch,House Finch,1ft,0.0,3.0,3.0,2.55,0.85,True,House Finch,0.5639,Sagebrush Sparrow,0.0561,Purple Finch,0.0262,True,1.0,0.5639,True,True,True
E1_no_metadata,House_Finch_1ft.wav,Birdsongs Recordings\1ft\House_Finch_1ft.wav,House Finch,House Finch,1ft,3.0,6.0,3.0,0.6999999999999997,0.23333333333333325,True,House Finch,0.6925,Blue Grosbeak,0.032,Olive Warbler,0.0293,True,1.0,0.6925,True,True,True
E1_no_metadata,House_Finch_1ft.wav,Birdsongs Recordings\1ft\House_Finch_1ft.wav,House Finch,House Finch,1ft,6.0,9.0,3.0,2.0,0.6666666666666666,True,House Finch,0.6925,Sagebrush Sparrow,0.0275,Orchard Oriole,0.0259,True,1.0,0.6925,True,True,True
E1_no_metadata,House_Finch_1ft.wav,Birdsongs Recordings\1ft\House_Finch_1ft.wav,House Finch,House Finch,1ft,9.0,10.0,1.0,0.0,0.0,False,Engine,0.0281,Siren,0.0063,Human vocal,0.005,False,,0.0,False,False,False
E1_no_metadata,House_Sparrow_1ft.wav,Birdsongs Recordings\1ft\House_Sparrow_1ft.wav,House Sparrow,House Sparrow,1ft,0.0,3.0,3.0,1.7420000000000002,0.5806666666666668,True,House Sparrow,0.8738,Italian Sparrow,0.1875,Eurasian Tree Sparrow,0.0173,True,1.0,0.8738,True,True,True
E1_no_metadata,House_Sparrow_1ft.wav,Birdsongs Recordings\1ft\House_Sparrow_1ft.wav,House Sparrow,House Sparrow,1ft,3.0,6.0,3.0,1.8359999999999999,0.612,True,House Sparrow,0.4907,Patagonian Sierra Finch,0.0497,Italian Sparrow,0.032,True,1.0,0.4907,True,True,True
E1_no_metadata,House_Sparrow_1ft.wav,Birdsongs Recordings\1ft\House_Sparrow_1ft.wav,House Sparrow,House Sparrow,1ft,6.0,9.0,3.0,1.8360000000000003,0.6120000000000001,True,House Sparrow,0.5018,Italian Sparrow,0.1286,Eurasian Tree Sparrow,0.0203,True,1.0,0.5018,True,True,True
E1_no_metadata,House_Sparrow_1ft.wav,Birdsongs Recordings\1ft\House_Sparrow_1ft.wav,House Sparrow,House Sparrow,1ft,9.0,10.0,1.0,0.6420000000000012,0.6420000000000012,True,House Sparrow,0.5193,Italian Sparrow,0.2218,Spanish Sparrow,0.1567,True,1.0,0.5193,True,True,True
E1_no_metadata,Lesser_Goldfinch_1ft.wav,Birdsongs Recordings\1ft\Lesser_Goldfinch_1ft.wav,Lesser Goldfinch,Lesser Goldfinch,1ft,0.0,3.0,3.0,3.0,1.0,True,Lesser Goldfinch,0.1137,Yellow-legged Thrush,0.0222,Oriental Magpie-Robin,0.0201,True,1.0,0.1137,True,True,True
E1_no_metadata,Lesser_Goldfinch_1ft.wav,Birdsongs Recordings\1ft\Lesser_Goldfinch_1ft.wav,Lesser Goldfinch,Lesser Goldfinch,1ft,3.0,6.0,3.0,2.3999999999999995,0.7999999999999998,True,Pallas's Leaf Warbler,0.1162,White-browed Wagtail,0.0876,Crested Lark,0.0577,True,9.0,0.0156,False,False,False
E1_no_metadata,Lesser_Goldfinch_1ft.wav,Birdsongs Recordings\1ft\Lesser_Goldfinch_1ft.wav,Lesser Goldfinch,Lesser Goldfinch,1ft,6.0,9.0,3.0,3.0,1.0,True,Lesser Goldfinch,0.1079,Yellow-legged Thrush,0.0508,Gray Catbird,0.0403,True,1.0,0.1079,True,True,True
E1_no_metadata,Lesser_Goldfinch_1ft.wav,Birdsongs Recordings\1ft\Lesser_Goldfinch_1ft.wav,Lesser Goldfinch,Lesser Goldfinch,1ft,9.0,10.0,1.0,0.9920000000000009,0.9920000000000009,True,American Goldfinch,0.6807,Collared Sunbird,0.1391,Ruddy-breasted Seedeater,0.026,True,6.0,0.0131,False,False,False
E1_no_metadata,Mourning_Dove_1ft.wav,Birdsongs Recordings\1ft\Mourning_Dove_1ft.wav,Mourning Dove,Mourning Dove,1ft,0.0,3.0,3.0,1.0,0.3333333333333333,True,Mourning Dove,0.5822,Buff-spotted Flufftail,0.0578,White-tipped Dove,0.0394,True,1.0,0.5822,True,True,True
E1_no_metadata,Mourning_Dove_1ft.wav,Birdsongs Recordings\1ft\Mourning_Dove_1ft.wav,Mourning Dove,Mourning Dove,1ft,3.0,6.0,3.0,2.3,0.7666666666666666,True,Mourning Dove,0.9285,West Peruvian Dove,0.0174,Zenaida Dove,0.0093,True,1.0,0.9285,True,True,True
E1_no_metadata,Mourning_Dove_1ft.wav,Birdsongs Recordings\1ft\Mourning_Dove_1ft.wav,Mourning Dove,Mourning Dove,1ft,6.0,9.0,3.0,1.2999999999999998,0.4333333333333333,True,Mourning Dove,0.8296,Eurasian Collared-Dove,0.0393,West Peruvian Dove,0.0113,True,1.0,0.8296,True,True,True
E1_no_metadata,Mourning_Dove_1ft.wav,Birdsongs Recordings\1ft\Mourning_Dove_1ft.wav,Mourning Dove,Mourning Dove,1ft,9.0,10.0,1.0,0.0,0.0,False,Engine,0.0135,Human vocal,0.0058,Fork-tailed Bush Katydid,0.0057,False,,0.0,False,False,False
E1_no_metadata,Northern_House_Wren_1ft.wav,Birdsongs Recordings\1ft\Northern_House_Wren_1ft.wav,Northern House Wren,House Wren,1ft,0.0,3.0,3.0,2.7,0.9,True,House Wren,0.9754,Black-chinned Siskin,0.0076,Lewis's Woodpecker,0.0056,True,1.0,0.9754,True,True,True
E1_no_metadata,Northern_House_Wren_1ft.wav,Birdsongs Recordings\1ft\Northern_House_Wren_1ft.wav,Northern House Wren,House Wren,1ft,3.0,6.0,3.0,0.8000000000000003,0.2666666666666668,True,House Wren,0.3107,Marsh Wren,0.1221,Rufous-crowned Sparrow,0.0804,True,1.0,0.3107,True,True,True
E1_no_metadata,Northern_House_Wren_1ft.wav,Birdsongs Recordings\1ft\Northern_House_Wren_1ft.wav,Northern House Wren,House Wren,1ft,6.0,9.0,3.0,2.8000000000000007,0.9333333333333336,True,House Wren,0.992,Eastern Wood-Pewee,0.0024,Lewis's Woodpecker,0.0024,True,1.0,0.992,True,True,True
E1_no_metadata,Northern_House_Wren_1ft.wav,Birdsongs Recordings\1ft\Northern_House_Wren_1ft.wav,Northern House Wren,House Wren,1ft,9.0,10.0,1.0,0.0,0.0,False,Connecticut Warbler,0.0935,Kentucky Warbler,0.0556,Hooded Warbler,0.0408,False,,0.0,False,False,False
E1_no_metadata,Northern_Mockingbird_1ft.wav,Birdsongs Recordings\1ft\Northern_Mockingbird_1ft.wav,Northern Mockingbird,Northern Mockingbird,1ft,0.0,3.0,3.0,1.6499999999999997,0.5499999999999999,True,Northern Mockingbird,0.4919,Brown Thrasher,0.0786,Chalk-browed Mockingbird,0.0326,True,1.0,0.4919,True,True,True
E1_no_metadata,Northern_Mockingbird_1ft.wav,Birdsongs Recordings\1ft\Northern_Mockingbird_1ft.wav,Northern Mockingbird,Northern Mockingbird,1ft,3.0,6.0,3.0,1.1499999999999995,0.38333333333333314,True,Northern Mockingbird,0.5772,Canyon Towhee,0.0479,Tropical Mockingbird,0.0357,True,1.0,0.5772,True,True,True
E1_no_metadata,Northern_Mockingbird_1ft.wav,Birdsongs Recordings\1ft\Northern_Mockingbird_1ft.wav,Northern Mockingbird,Northern Mockingbird,1ft,6.0,9.0,3.0,2.13,0.71,True,Northern Mockingbird,0.1793,Wrentit,0.1652,Jacky-winter,0.0932,True,1.0,0.1793,True,True,True
E1_no_metadata,Northern_Mockingbird_1ft.wav,Birdsongs Recordings\1ft\Northern_Mockingbird_1ft.wav,Northern Mockingbird,Northern Mockingbird,1ft,9.0,10.0,1.0,0.27999999999999936,0.27999999999999936,True,Wrentit,0.1834,Jacky-winter,0.1155,Taiwan Hwamei,0.071,False,,0.0,False,False,False
E1_no_metadata,Northern_Yellow_Warbler_1ft.wav,Birdsongs Recordings\1ft\Northern_Yellow_Warbler_1ft.wav,Northern Yellow Warbler,Yellow Warbler,1ft,0.0,3.0,3.0,0.0,0.0,False,Common Virtuoso Katydid,0.4381,Common Nighthawk,0.0743,Fork-tailed Bush Katydid,0.0528,False,,0.0,False,False,False
E1_no_metadata,Northern_Yellow_Warbler_1ft.wav,Birdsongs Recordings\1ft\Northern_Yellow_Warbler_1ft.wav,Northern Yellow Warbler,Yellow Warbler,1ft,3.0,6.0,3.0,1.3499999999999996,0.4499999999999999,True,Yellow Warbler,0.9617,American Redstart,0.0107,Willow Flycatcher,0.0077,True,1.0,0.9617,True,True,True
E1_no_metadata,Northern_Yellow_Warbler_1ft.wav,Birdsongs Recordings\1ft\Northern_Yellow_Warbler_1ft.wav,Northern Yellow Warbler,Yellow Warbler,1ft,6.0,9.0,3.0,0.09999999999999964,0.033333333333333215,False,Common Virtuoso Katydid,0.1782,American Redstart,0.174,Greenish Warbler,0.0894,True,19.0,0.0098,False,False,False
E1_no_metadata,Northern_Yellow_Warbler_1ft.wav,Birdsongs Recordings\1ft\Northern_Yellow_Warbler_1ft.wav,Northern Yellow Warbler,Yellow Warbler,1ft,9.0,10.0,1.0,0.0,0.0,False,Engine,0.0444,Fork-tailed Bush Katydid,0.0287,Common Virtuoso Katydid,0.0101,False,,0.0,False,False,False
E1_no_metadata,Oak_Titmouse_1ft.wav,Birdsongs Recordings\1ft\Oak_Titmouse_1ft.wav,Oak Titmouse,Oak Titmouse,1ft,0.0,3.0,3.0,1.3,0.43333333333333335,True,Juniper Titmouse,0.8021,Oak Titmouse,0.6607,Bridled Titmouse,0.0237,True,2.0,0.6607,False,True,True
E1_no_metadata,Oak_Titmouse_1ft.wav,Birdsongs Recordings\1ft\Oak_Titmouse_1ft.wav,Oak Titmouse,Oak Titmouse,1ft,3.0,6.0,3.0,1.0000000000000004,0.3333333333333335,True,Oak Titmouse,0.9997,Spotted Towhee,0.0237,Tufted Titmouse,0.0237,True,1.0,0.9997,True,True,True
E1_no_metadata,Oak_Titmouse_1ft.wav,Birdsongs Recordings\1ft\Oak_Titmouse_1ft.wav,Oak Titmouse,Oak Titmouse,1ft,6.0,9.0,3.0,1.4499999999999993,0.4833333333333331,True,Oak Titmouse,0.9994,Carolina Wren,0.046,Juniper Titmouse,0.0206,True,1.0,0.9994,True,True,True
E1_no_metadata,Oak_Titmouse_1ft.wav,Birdsongs Recordings\1ft\Oak_Titmouse_1ft.wav,Oak Titmouse,Oak Titmouse,1ft,9.0,10.0,1.0,0.9000000000000004,0.9000000000000004,True,Oak Titmouse,0.9817,Brown Thrasher,0.1683,Spotted Towhee,0.0479,True,1.0,0.9817,True,True,True
E1_no_metadata,Rock_Pigeon_1ft.wav,Birdsongs Recordings\1ft\Rock_Pigeon_1ft.wav,Rock Pigeon,Rock Pigeon,1ft,0.0,3.0,3.0,1.5499999999999998,0.5166666666666666,True,Rock Pigeon,0.9875,Common Wood-Pigeon,0.0102,Engine,0.0091,True,1.0,0.9875,True,True,True
E1_no_metadata,Rock_Pigeon_1ft.wav,Birdsongs Recordings\1ft\Rock_Pigeon_1ft.wav,Rock Pigeon,Rock Pigeon,1ft,3.0,6.0,3.0,1.0499999999999998,0.3499999999999999,True,Rock Pigeon,0.9081,Black Phoebe,0.0683,Engine,0.0266,True,1.0,0.9081,True,True,True
E1_no_metadata,Rock_Pigeon_1ft.wav,Birdsongs Recordings\1ft\Rock_Pigeon_1ft.wav,Rock Pigeon,Rock Pigeon,1ft,6.0,9.0,3.0,1.0999999999999996,0.36666666666666653,True,Rock Pigeon,0.7613,Black Phoebe,0.1134,Canyon Wren,0.0178,True,1.0,0.7613,True,True,True
E1_no_metadata,Rock_Pigeon_1ft.wav,Birdsongs Recordings\1ft\Rock_Pigeon_1ft.wav,Rock Pigeon,Rock Pigeon,1ft,9.0,10.0,1.0,0.0,0.0,False,Fork-tailed Bush Katydid,0.0258,Engine,0.0191,Brown Fish-Owl,0.0077,False,,0.0,False,False,False
E1_no_metadata,Song_Sparrow_1ft.wav,Birdsongs Recordings\1ft\Song_Sparrow_1ft.wav,Song Sparrow,Song Sparrow,1ft,0.0,3.0,3.0,0.0,0.0,False,Common Virtuoso Katydid,0.1784,Pygmy Nuthatch,0.1193,Canada Goose,0.0546,True,5.0,0.0516,False,False,True
E1_no_metadata,Song_Sparrow_1ft.wav,Birdsongs Recordings\1ft\Song_Sparrow_1ft.wav,Song Sparrow,Song Sparrow,1ft,3.0,6.0,3.0,2.6500000000000004,0.8833333333333334,True,Song Sparrow,0.9159,Swamp Sparrow,0.0088,Virginia Rail,0.0063,True,1.0,0.9159,True,True,True
E1_no_metadata,Song_Sparrow_1ft.wav,Birdsongs Recordings\1ft\Song_Sparrow_1ft.wav,Song Sparrow,Song Sparrow,1ft,6.0,9.0,3.0,0.0,0.0,False,House Sparrow,0.049,Canada Goose,0.0403,Engine,0.0266,True,7.0,0.0163,False,False,False
E1_no_metadata,Song_Sparrow_1ft.wav,Birdsongs Recordings\1ft\Song_Sparrow_1ft.wav,Song Sparrow,Song Sparrow,1ft,9.0,10.0,1.0,0.0,0.0,False,Engine,0.024,Fireworks,0.0077,Eurasian Eagle-Owl,0.0066,False,,0.0,False,False,False
E1_no_metadata,Spotted_Towhee_1ft.wav,Birdsongs Recordings\1ft\Spotted_Towhee_1ft.wav,Spotted Towhee,Spotted Towhee,1ft,0.0,3.0,3.0,1.3,0.43333333333333335,True,Spotted Towhee,0.9864,Green-tailed Towhee,0.046,Eastern Towhee,0.014,True,1.0,0.9864,True,True,True
E1_no_metadata,Spotted_Towhee_1ft.wav,Birdsongs Recordings\1ft\Spotted_Towhee_1ft.wav,Spotted Towhee,Spotted Towhee,1ft,3.0,6.0,3.0,0.0,0.0,False,Common Virtuoso Katydid,0.1272,Engine,0.0609,Hammond's Flycatcher,0.0295,False,,0.0,False,False,False
E1_no_metadata,Spotted_Towhee_1ft.wav,Birdsongs Recordings\1ft\Spotted_Towhee_1ft.wav,Spotted Towhee,Spotted Towhee,1ft,6.0,9.0,3.0,1.3500000000000005,0.4500000000000002,True,Spotted Towhee,0.9658,Green-tailed Towhee,0.0828,Dickcissel,0.0075,True,1.0,0.9658,True,True,True
E1_no_metadata,Spotted_Towhee_1ft.wav,Birdsongs Recordings\1ft\Spotted_Towhee_1ft.wav,Spotted Towhee,Spotted Towhee,1ft,9.0,10.0,1.0,0.0,0.0,False,Fork-tailed Bush Katydid,0.0137,Engine,0.0127,Eurasian Eagle-Owl,0.0068,False,,0.0,False,False,False
E1_no_metadata,American_Robin_4ft.wav,Birdsongs Recordings\4ft\American_Robin_4ft.wav,American Robin,American Robin,4ft,0.0,3.0,3.0,2.45,0.8166666666666668,True,American Robin,0.9562,Summer Tanager,0.0349,Northern Mockingbird,0.015,True,1.0,0.9562,True,True,True
E1_no_metadata,American_Robin_4ft.wav,Birdsongs Recordings\4ft\American_Robin_4ft.wav,American Robin,American Robin,4ft,3.0,6.0,3.0,1.9000000000000004,0.6333333333333334,True,American Robin,0.9948,Austral Thrush,0.0044,Summer Tanager,0.0031,True,1.0,0.9948,True,True,True
E1_no_metadata,American_Robin_4ft.wav,Birdsongs Recordings\4ft\American_Robin_4ft.wav,American Robin,American Robin,4ft,6.0,9.0,3.0,1.4000000000000004,0.4666666666666668,True,American Robin,0.9539,Black Thrush,0.0518,Pale Thrush,0.0195,True,1.0,0.9539,True,True,True
E1_no_metadata,American_Robin_4ft.wav,Birdsongs Recordings\4ft\American_Robin_4ft.wav,American Robin,American Robin,4ft,9.0,10.0,1.0,1.0,1.0,True,American Robin,0.8464,Black-headed Grosbeak,0.1932,Rose-breasted Grosbeak,0.028,True,1.0,0.8464,True,True,True
